Title,Rank,Votes,Score,"Esoteric
Rank","Esoteric
Score",Source,Episodes,Studio,First Air Date,Last Air Date,Genres,AniListID,TMDbID,IMGID
To My Brother...,161,4,52,216,9.4,Manga,39,Tezuka Productions,1991-07-14,1992-05-17,"Drama, Psychological",795,36588,/uj4w3dFkoI0e3o3JVONyZScICop.jpg
Dirty Pair (1985),301,1,19,216,9.4,Light Novel,,Sunrise,,,"Action, Adventure, Comedy, Sci-Fi",4200,,
S-cry-ed,392,1,7,219,9.2,Original,26,Sunrise,2001-07-04,2005-12-26,"Action, Adventure, Sci-Fi",168,42676,/qjTNWCwl1fZuYjkJMHg4kYNUpPF.jpg
Full Metal Panic? Fumoffu,227,3,30,220,8.9,Light Novel,12,Kyoto Animation,2003-08-26,2003-11-18,"Action, Comedy, Romance",72,68184,/tSJbYU643iD2VqkPw04vWbvYwBk.jpg
Durarara!!,133,5,65,221,8.8,Light Novel,60,Brain's Base,2010-01-08,2016-03-26,"Action, Mystery, Supernatural",6746,42410,/ePTyPLVtMZdyPnU0KwFjrVCSQmI.jpg
Irresponsible Captain Tylor,222,1,31,222,8.7,Light Novel,35,Tatsunoko Production,1993-01-25,2017-09-26,"Adventure, Comedy, Sci-Fi",569,34189,/tmPKSHWBVIG2uBFDfMV1qdql8hV.jpg
Zombieland Saga,295,4,19,222,8.7,Original,24,MAPPA,2018-10-04,2021-06-24,"Comedy, Music, Supernatural",103871,82822,/vSaonGCXOtC8RmqR3e5L8f4lAdI.jpg
Detective Conan,355,2,11,222,8.7,Manga,1058,TMS Entertainment,1996-01-08,2021-07-31,"Adventure, Comedy, Mystery, Psychological",235,30983,/9ve6LW4ltMMpp9WjoR4MGViOp9V.jpg
Gutsy Frog,146,2,60,225,8.6,Manga,22,,1972-10-07,1973-03-03,,5618,45356,/tINZLA1slqie76LvFDrVR7kMB0E.jpg
FLCL,4,37,785,226,8.5,Original,6,Gainax,2003-05-05,2003-05-13,"Action, Comedy, Mecha, Sci-Fi",227,5895,/FkgA8CcmiLJGVCRYRQ2g2UfVtF.jpg
Cromartie High School,153,3,55,227,8.3,Manga,26,Production I.G,2003-10-02,2004-03-26,Comedy,114,12260,/fap9ADMD1xVnz62rmnQerxzmFoy.jpg
Monthly Girls' Nozaki-kun,392,1,7,227,8.3,Manga,12,Doga Kobo,2014-07-07,2014-09-22,"Comedy, Romance, Slice of Life",20668,61379,/maPv22inKIcyfOCil3wrWiyJ7gC.jpg
Blue Gender,402,1,6,227,8.3,Original,26,AIC,1999-10-08,2000-03-31,"Adventure, Drama, Horror, Mecha, Psychological, Romance, Sci-Fi",58,19855,/e1fkIjgSiFvW3edqtG9sSaurcFI.jpg
Yakitate!! Japan,333,1,14,230,8,Manga,69,Sunrise,2004-10-12,2006-03-14,Comedy,28,46350,/jhx00b722ORMUsUvInJ7ykjsW1U.jpg
Pokémon,412,1,5,231,7.9,Video Game,1197,OLM,1997-04-01,2021-07-30,"Adventure, Comedy, Fantasy",527,60572,/rOuGm07PxBhEsK9TaGPRQVJQm1X.jpg
There She Is!!,365,1,10,232,7.8,Original,0,,,,,6505,32260,
Gantz,412,1,5,232,7.8,Manga,24,GONZO,2004-04-13,2004-11-18,"Action, Drama, Ecchi, Horror, Psychological, Sci-Fi, Supernatural",384,11279,/spyDQ1Cv8m4L8EaXS6iXSpbLWA.jpg
Chrono Crusade,202,1,36,234,7.6,Manga,24,GONZO,2003-11-24,2004-06-09,"Action, Romance, Supernatural",60,34061,/v2DDGnv9kElP7ECd4j6jsLxEDSb.jpg
Concrete Revolutio,202,1,36,234,7.6,Original,24,bones,2015-10-04,2016-06-19,"Action, Drama, Fantasy, Mystery, Sci-Fi, Supernatural",21249,65932,/nxem8mWfpT1LD7GZ1wKEKRDlLqp.jpg
Welcome to the NHK,15,26,440,236,7.5,Light Novel,24,GONZO,2006-07-09,2006-12-17,"Comedy, Drama, Psychological, Romance, Slice of Life",1210,42821,/m6OCDukPsKLWGcUktsnd3xtE0vT.jpg
Sound of the Sky,125,4,73,236,7.5,Original,12,A-1 Pictures,2010-01-05,2010-03-23,"Comedy, Music, Sci-Fi, Slice of Life",6802,35461,/oKOo4isaMNYgTdj1Yfm7kMM5qjf.jpg
Pingu in the City,421,1,4,238,7.2,Other,37,Dandelion Animation Studio,2017-10-07,2018-12-15,"Comedy, Slice of Life",99994,74381,/8I402IFZiiYVUkgm70BxitzJMPg.jpg
Slam Dunk,206,2,35,239,7.1,Manga,101,Toei Animation,1993-10-16,1996-03-23,"Comedy, Drama, Slice of Life, Sports",170,42573,/65Xo6gKpREqXpzliLx9PYqSQ4O.jpg
New Game!,240,4,28,239,7.1,Manga,24,Doga Kobo,2016-07-04,2017-09-26,"Comedy, Slice of Life",21455,67012,/tga2LXkZR9gr9MajpYpeWgCLGt2.jpg
My Teen Romantic Comedy SNAFU,143,4,61,241,7,Light Novel,38,Brain's Base,2013-04-05,2020-09-25,"Comedy, Drama, Romance, Slice of Life",14813,65676,/8knvr1LbnPD8SZjZlkD3cOt3TYu.jpg
One Piece,402,1,6,242,6.9,Manga,988,Toei Animation,1999-10-20,2021-08-01,"Action, Adventure, Comedy, Drama, Fantasy",21,37854,/4I1xjEKZxeeBT8RXg0BA6k6PM8e.jpg
Ping Pong the Animation,7,28,566,243,6.8,Manga,11,Tatsunoko Production,2014-04-11,2014-06-20,"Drama, Psychological, Sports",20607,60811,/frgVn3ww547TVQH8vS2bWKZnEBu.jpg
Puella Magi Madoka Magica,14,28,443,244,6.6,Original,12,Shaft,2011-01-07,2011-04-22,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Thriller",9756,39218,/48GLvRh3lgh5gjl0uVen60bslRM.jpg
Kemono Friends,383,2,8,244,6.6,Video Game,24,Yaoyorozu,2017-01-11,2019-03-17,"Adventure, Comedy, Fantasy",87496,69288,/2TQq8uiRob7nboF7UBVKBach88N.jpg
Mobile Suit Gundam Seed,373,1,9,246,6.5,Original,100,Sunrise,2002-10-05,2005-12-25,"Action, Drama, Mecha, Sci-Fi",93,20111,/t2PKIjlaJhNLm0pxShQyYftF4XL.jpg
Hellsing,433,1,3,246,6.5,Manga,13,GONZO,2001-10-10,2002-01-16,"Action, Horror, Supernatural",270,16830,/xA3wsLJzj6XnvuryerPBPwoQodH.jpg
Angel Beats,168,3,48,248,6.4,Original,13,P.A. Works,2010-04-03,2010-06-25,"Action, Comedy, Drama, Supernatural",6547,42942,/d7j2KtAh88wEcQCIVQ7SKz2T5So.jpg
Akagi,186,3,39,249,6.2,Manga,26,MADHOUSE,2005-10-05,2006-03-29,"Psychological, Sports, Thriller",658,42877,/1wbTH3sWR6GVbgPDz6LQV1eYnEW.jpg
Victory Gundam,317,1,17,249,6.2,Original,51,Sunrise,1993-04-02,1994-03-25,"Drama, Mecha, Sci-Fi",89,25797,/ngJKlvmwnrS6KxYZPwwPRktvPBL.jpg
Elfen Lied,233,5,29,251,6,Manga,13,Arms,2004-07-25,2004-10-17,"Action, Drama, Ecchi, Horror, Psychological, Romance, Supernatural",226,42671,/1Qaei4Vst8i0DfzdqhOJJHc5JAY.jpg
Moribito: Guardian of the Spirit,131,3,67,252,5.9,Novel,26,Production I.G,2007-04-07,2007-09-29,"Action, Adventure, Fantasy",1827,42830,/zIxIBlI30sbziW1zkqvCHJAWA6L.jpg
Strawberry Marshmallow,251,2,26,252,5.9,Manga,12,Daume,2005-07-15,2005-10-14,"Comedy, Slice of Life",488,35730,/pcb6GPHQGWQNCbL338TOOlnmTrI.jpg
Macross Plus,262,3,24,252,5.9,Original,4,Triangle Staff,1994-08-25,1995-06-25,"Action, Drama, Mecha, Music, Romance, Sci-Fi",474,21733,/tiGA38Um3IqBbyylUwy8iqAzFto.jpg
Bubblegum Crisis Tokyo 2040,443,1,2,252,5.9,Original,26,AIC,1998-10-08,2000-07-26,"Action, Adventure, Mecha, Sci-Fi",568,9542,/iNeRVNxxsLJDYLNG2L0QlBNqOwL.jpg
Parappa The Rapper,443,1,2,256,5.7,Video Game,30,J.C. Staff,2001-04-14,2002-01-11,"Comedy, Fantasy, Slice of Life",3736,5743,/5AvRAwD1ehm0NiXNMAiRjgNUO6O.jpg
Bakuman,443,1,2,256,5.7,Manga,75,J.C. Staff,2010-10-02,2013-03-30,"Comedy, Drama, Romance",7674,36041,/o40Xwa26gO6iqcu86Shs7jStQC6.jpg
Dragon Ball GT,443,1,2,258,5.6,Manga,64,Toei Animation,1996-02-07,1997-11-19,"Action, Adventure, Comedy, Fantasy, Sci-Fi",225,12697,/rLHhDpv6rrhuzBjNzaMRNv2fng.jpg
Re:Zero,274,3,22,259,5.5,Light Novel,50,White Fox,2016-04-04,2021-03-24,"Action, Adventure, Drama, Fantasy, Psychological, Romance, Thriller",21355,65942,/5MrRCj7z92YLWMXHeWKp19eJPYv.jpg
NieA_7,331,2,14,259,5.5,Manga,13,Triangle Staff,2000-04-26,2000-07-19,"Comedy, Sci-Fi, Slice of Life",800,28223,/aINB40Si5rIXVGn8swwtiFM9j0r.jpg
Paniponi Dash!,165,3,50,261,5.4,Manga,26,Shaft,2005-07-03,2005-12-25,Comedy,490,89086,/nyUX2IVUzvzAPfDRSMIRTUS57Da.jpg
Dragon Ball Z Kai,385,1,8,261,5.4,Manga,158,Toei Animation,2009-04-05,2015-06-28,"Action, Adventure, Comedy",6033,61709,/ykl67ghR2ug6KGFH3CQcI01pzQJ.jpg
Kiznaiver,385,1,8,261,5.4,Original,12,Trigger,2016-04-09,2016-06-25,"Drama, Romance, Sci-Fi",21421,65950,/2CWwdv8rO06DUx0VKfhrGpYAAfd.jpg
Kodocha,347,1,12,264,5.3,Manga,102,Studio Gallop,1996-04-05,1998-03-27,"Comedy, Drama, Romance",1486,25722,/7rfnSYLG7QkwJg5kbGPaJE6USVy.jpg
Diebuster,139,3,64,265,5.2,Original,12,Gainax,1988-10-07,2006-08-25,"Action, Comedy, Mecha, Sci-Fi",1002,66931,/4WzCDZT7G2QMvF8JxxlYTG85hSp.jpg
Gabriel Dropout,296,2,19,266,4.9,Manga,12,Doga Kobo,2017-01-09,2017-03-27,"Comedy, Slice of Life, Supernatural",21878,69285,/dS5dut05RFNi3fOCn6iO31Eag9x.jpg
Dragon Ball Super,458,1,1,266,4.9,Manga,131,Toei Animation,2015-07-05,2018-03-25,"Action, Adventure, Comedy",21175,62715,/kbhu0tIv5E1PbAw2YPjrhoQ7I1s.jpg
Show By Rock!!,458,1,1,266,4.9,Video Game,24,bones,2015-04-05,2016-12-18,"Comedy, Music",20843,65036,/mNruuU5nlxzf5XG0jfsJkWg94Ow.jpg
Treasure Island,148,2,59,269,4.7,Other,26,MADHOUSE,1993-09-10,1995-06-27,"Adventure, Drama, Mystery",2618,13264,/dxwlU0wUwYvZc4ZKtYTzqz6ibsY.jpg
Girls Bravo,373,1,9,269,4.7,Manga,24,AIC Spirits,2004-07-05,2005-04-21,"Comedy, Ecchi, Romance",241,34793,/7oi1AruNAkgzKRn47muIP6Bq8iK.jpg
Shiki,138,4,64,271,4.6,Other,22,Daume,2010-07-09,2010-12-31,"Horror, Mystery, Supernatural, Thriller",7724,36581,/zsWbTnNwNjqWvgZ9gqTcK9WLoWy.jpg
Mad Bull 34,211,1,34,271,4.6,Manga,4,Magic Bus,1990-12-21,1992-08-21,"Action, Comedy",3448,45287,/iCODvgGuDDZW0ee8i44wyVg8h0p.jpg
Fate/Stay Night: Unlimited Blade Works,296,2,19,273,4.5,Visual Novel,25,ufotable,2014-10-12,2015-06-28,"Action, Fantasy, Supernatural",19603,61415,/mZfLRVb51S0M51JDMp4i3bW6nzX.jpg
Mysterious Girlfriend X,391,2,7,273,4.5,Manga,13,Hoods Entertainment,2012-04-08,2012-07-01,"Ecchi, Mystery, Romance",12467,42556,/hGkEGe250iefHrfnTGWijRW9pnJ.jpg
Digimon Adventure,327,2,15,275,4.4,Original,60,Toei Animation,2020-04-05,2021-08-01,"Action, Adventure, Fantasy",552,98034,/7Qspx2eFX0uBSQLLlAKnYrjZgse.jpg
Golden Boy,153,3,55,276,4.3,Manga,6,APPP,1995-10-27,1996-06-28,"Adventure, Comedy, Ecchi",268,34105,/fx2DqPaW5OwFTBgS4nbTuCxdYFj.jpg
Slayers,200,2,36,277,4.2,Light Novel,104,E&G Films,1995-04-07,2009-04-06,"Adventure, Comedy, Fantasy",534,26318,/3iTxwvaEOyxogd2hAu1wPb8Dd0P.jpg
Lady Georgie,357,1,11,277,4.2,Manga,45,Tokyo Movie Shinsha,1983-04-09,1984-02-25,"Drama, Romance",2542,36664,/nAyOUoBTavtCOTxn4hBp84twETZ.jpg
SoulTaker,182,2,42,279,3.9,Original,13,Tatsunoko Production,2001-04-04,2001-07-04,"Horror, Supernatural",1048,8654,/7iRdBPcSOO3gcdl5vKvdvjEGoVN.jpg
Wave! Listen to Me,328,1,15,279,3.9,Manga,12,Sunrise,2020-04-04,2020-06-20,"Comedy, Drama, Romance",112353,94405,/g2wTROLPbCCX1ekBItjTmotfpYy.jpg
Armored Trooper VOTOMS,328,1,15,279,3.9,Original,52,Sunrise,1983-04-01,1984-03-23,"Action, Drama, Mecha, Mystery, Romance, Sci-Fi",2582,32377,/hYv6w515vwe3IowcvbPrk4R6ckl.jpg
Beastars,421,1,4,279,3.9,Manga,24,Orange,2019-10-10,2021-03-25,"Drama, Mystery, Psychological, Romance, Slice of Life",107660,90937,/zKEFedE4KEUWdfPvjVC9G1VyEoK.jpg
The Eccentric Family,126,3,71,283,3.8,Other,25,P.A. Works,2013-07-07,2017-06-25,"Comedy, Drama, Fantasy, Slice of Life, Supernatural",17909,61338,/jDq0Q9OoeFOqJGCaV9sdn1cmJNy.jpg
ef,204,4,35,283,3.8,Visual Novel,24,Shaft,2007-10-06,2008-12-22,"Drama, Mystery, Psychological, Romance, Supernatural",4789,27866,/AoxyuMX7gQqw2tdbTYaMIO6HMZ1.jpg
Maison Ikkoku,144,3,61,285,3.6,Manga,96,Studio DEEN,1986-03-26,1988-03-02,"Comedy, Drama, Romance, Slice of Life",1453,43018,/6jN5iROb8bwm8RSjeKw4OXh93Xo.jpg
Asobi Asobase,214,1,33,285,3.6,Manga,12,Lerche,2018-07-08,2018-09-23,"Comedy, Slice of Life",101001,80539,/zWE3bnCILcRpfQCsxBkMsgcEjOE.jpg
Toward The Terra,214,1,33,285,3.6,Manga,24,Minami Machi Bugyousho,2007-04-07,2007-09-22,"Action, Drama, Sci-Fi",2158,30237,/2OHjXW2DLY13eGqGif0ZBHnIWqO.jpg
Adventure of Gamba,214,1,33,285,3.6,,26,,1975-04-07,1975-09-29,Adventure,20175,67412,/32B8nGeByyZjSfdZfwnLBRXcwUR.jpg
Wonder Egg Priority,235,2,29,289,3.5,Original,12,CloverWorks,2021-01-13,2021-03-31,"Action, Drama, Fantasy, Mystery, Psychological, Sci-Fi, Thriller",124845,111255,/7Ief4J2hkBuaKxUzy9fMqUoh9BY.jpg
Citrus,443,1,2,289,3.5,Manga,12,Passione,2018-01-06,2018-03-24,"Drama, Romance",97832,76063,/1h6v8gS1vKybZciqpNWeV5MFQNb.jpg
Sketchbook,209,2,34,291,3.3,Manga,13,Hal Film Maker,2007-10-02,2007-12-25,"Comedy, Slice of Life",2942,72249,/thUCyc63onPYj6baWXOsFUf8b17.jpg
Megalobox,285,2,20,292,3.2,Original,26,TMS Entertainment,2018-04-06,2021-06-27,"Action, Drama, Sci-Fi, Sports",100298,77939,/mfXCEFdiMMWEUCGcCbdEo7bfhKK.jpg
Bubblegum Crisis,172,3,46,293,3.1,Original,8,AIC,1987-02-25,1991-01-30,"Action, Mecha, Sci-Fi",1347,42882,/2k4vwUKRiXoz2ZSqG87NMlVCl0F.jpg
Kokoro Connect,234,3,29,293,3.1,Light Novel,13,SILVER LINK.,2012-07-08,2012-09-30,"Drama, Romance, Slice of Life, Supernatural",11887,45807,/kzPbvHs9qISUPSQUbqnLdaiJh8E.jpg
Outlaw Star,275,2,22,293,3.1,Manga,26,Sunrise,1998-01-08,2001-02-16,"Action, Adventure, Comedy, Sci-Fi",400,35106,/9KZZmrsHuIHyIlrd7fgwsHvMi4e.jpg
Tamayura,296,2,19,293,3.1,Original,24,Hal Film Maker,2011-10-03,2013-09-18,"Comedy, Slice of Life",9055,45088,/nvZUtQOb2DDry4G5UOH6sNGCtGA.jpg
Buso Renkin,392,1,7,293,3.1,Manga,26,Xebec,2006-10-04,2007-03-28,"Action, Comedy, Fantasy, Supernatural",1536,31575,/3H72ZhGy16KVLtiqQS4TOiHONJH.jpg
"Love, Chunibyo & Other Delusions!",227,3,30,298,2.9,Light Novel,24,Kyoto Animation,2012-10-04,2014-03-26,"Comedy, Drama, Romance, Slice of Life",14741,45501,/1IapEqydEiGO0gCgBPVexTFbUCS.jpg
Akazukin Chacha,331,2,14,298,2.9,Manga,77,Studio Gallop,1994-01-07,1995-06-30,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance",103,34179,/lxrI7Us1cksuDCK0TapvdQaS5ac.jpg
After the Rain,354,3,11,298,2.9,Manga,12,Wit Studio,2018-01-12,2018-03-30,"Drama, Romance, Slice of Life",98385,75777,/pdx9MeBXnPwp7vnZBco7GUXaGaV.jpg
Soul Eater,412,1,5,298,2.9,Manga,51,bones,2008-04-07,2009-03-30,"Action, Adventure, Comedy, Fantasy",3588,37305,/hI5AhxFTSFabTG7Fvhczyb5ZIh8.jpg
3000 Leagues in Search of Mother,220,1,32,302,2.8,Novel,52,Nippon Animation,1976-01-04,1976-12-26,"Adventure, Drama",1663,8962,/cNyYHaHxOytT7DFbVhRrHpkqlst.jpg
Marmalade boy,373,1,9,302,2.8,Manga,76,Toei Animation,1994-03-13,1995-09-03,"Comedy, Drama, Romance, Slice of Life",334,35507,/ebque9KJDaEtuSNkrc9qQfYVIhW.jpg
The Hakkenden,373,1,9,302,2.8,Other,20,AIC,1990-10-25,1995-03-25,"Action, Adventure",1822,28954,/xyP9bVUUGAdhp4HMiRIFjssV5dR.jpg
Girls und Panzer,420,2,4,305,2.7,Original,12,Actas,2012-10-09,2013-03-25,"Action, Sports",14131,43967,/hKEgErh0c9ljzHyODohZWzapI9U.jpg
Prison School,383,2,8,306,2.6,Manga,12,J.C. Staff,2015-07-11,2015-09-26,"Comedy, Ecchi",20807,64706,/6O8NgsIB2GXldksS88QgGPTvdWF.jpg
GaoGaiGar: King of the Braves,340,1,13,307,2.5,Original,61,Sunrise,1997-02-01,2005-06-27,"Adventure, Mecha, Sci-Fi",890,45116,/zooAfAJwD0wsfJggFrSPDQ9oh10.jpg
Mitsuboshi Colors,340,1,13,307,2.5,Manga,12,SILVER LINK.,2018-01-07,2018-03-25,"Comedy, Slice of Life",98439,76134,/uiB412p9JIfTqavtfJ54Izd64TD.jpg
Mahoromatic,402,1,6,307,2.5,Manga,26,Gainax,2001-10-05,2003-01-17,"Comedy, Ecchi, Romance, Sci-Fi",276,42722,/dg46XFpzAm5CeZaOkdJ3bmean6p.jpg
Kuragehime,421,1,4,310,2.4,Manga,11,Brain's Base,2010-10-14,2010-12-30,"Comedy, Romance, Slice of Life",8129,37580,/jSpLkV4YpexvNozVRvZt57jjqIr.jpg
Shimoneta,421,1,4,310,2.4,Light Novel,12,J.C. Staff,2015-07-04,2015-09-19,"Comedy, Ecchi",20910,63323,/bRq7nVf7fkWA5XrvlEME6D3otth.jpg
Haré+Guu,421,1,4,310,2.4,Manga,52,,2001-04-03,2003-12-28,,,34812,/wtO541BFRT6jp7MShlZNIOAnX9g.jpg
Fate/Apocrypha,222,1,31,313,2.2,Light Novel,25,A-1 Pictures,2017-07-02,2017-12-31,"Action, Drama, Fantasy, Supernatural",98035,72304,/6z5fvOImqH7WsPHOJIyxEJFRwX6.jpg
Joshiraku,222,1,31,313,2.2,Manga,13,J.C. Staff,2012-07-06,2012-09-28,"Comedy, Slice of Life",12679,79040,/67zsN2RRa187v8fwYxlN8c8T19X.jpg
New Dominion Tank Police,222,1,31,313,2.2,,10,J.C. Staff,1988-05-27,1994-10-21,"Comedy, Mecha, Sci-Fi",1152,45137,/f8WPejGXINqO4aVyZuhDWBRVI2p.jpg
Nagi-Asu: A Lull in the Sea,222,1,31,313,2.2,Original,26,P.A. Works,2013-10-03,2014-04-03,"Drama, Fantasy, Romance, Slice of Life",16067,61408,/hOm9TB9JQJhAT1tBXGsngP35cCX.jpg
Black Jack,235,2,29,313,2.2,Manga,12,Tezuka Productions,2015-10-02,2015-12-18,"Action, Adventure, Drama, Mystery, Supernatural",1520,69602,/ibI8xbSSIB6P89Qj2aG0QRhNoqp.jpg
Dr. Stone,458,1,1,313,2.2,Manga,35,TMS Entertainment,2019-07-05,2021-03-25,"Action, Adventure, Comedy, Sci-Fi",105333,86031,/dLlnzbDCblBXcJqFLXyvN43NIwp.jpg
The Dragon Dentist,221,2,31,319,2.1,Original,2,Studio Khara,2017-02-18,2017-02-25,"Adventure, Fantasy",87539,70468,/xnN2C6kud4T54AaF2bqAqW5IoWd.jpg
Birdy the Mighty: Decode,267,2,23,319,2.1,Manga,25,A-1 Pictures,2008-07-05,2009-03-28,"Action, Comedy, Sci-Fi",3974,37264,/2MhyFK76viQc94A8Qbld4Ld2lSj.jpg
Paradise Kiss,372,2,9,319,2.1,Manga,12,MADHOUSE,2005-10-14,2005-12-30,"Comedy, Drama, Romance, Slice of Life",322,34208,/o4c1e7mWp2MrsHGOytAWSRLx2tJ.jpg
Gatchaman Crowds,200,2,36,322,2,Original,24,Tatsunoko Production,2013-07-13,2015-09-27,"Action, Adventure, Sci-Fi",18229,61527,/dnlC1rjaucXDHOu85KCb9F318c0.jpg
Keep Your Hands Off Eizouken!,213,2,33,322,2,Manga,12,Science SARU,2020-01-06,2020-03-23,"Adventure, Comedy, Slice of Life",109298,92579,/1rHoqpvvfjHqEBGuhKfPtZoRQkC.jpg
Re: Cutie Honey,242,2,28,322,2,Manga,3,Toei Animation,2004-07-24,2004-09-25,"Action, Comedy, Ecchi, Mahou Shoujo, Sci-Fi",151,95736,/tHh1NDxwQuvN9MASVTgnFBEbmRh.jpg
Tanaka-kun Is Always Listless,242,2,28,322,2,Manga,12,SILVER LINK.,2016-04-09,2016-06-25,"Comedy, Slice of Life",21495,66077,/q3TdnhtfXh6yfrHuZO0hEmkjjnr.jpg
Aim for the Ace,263,2,24,322,2,Manga,26,Tokyo Movie Shinsha,1973-10-05,1974-03-29,"Drama, Sports",311,46419,/fRIz0Hu3ulmHtbcPjZD0PQIYycD.jpg
Heartcatch Pretty Cure!,275,2,22,322,2,Original,49,Toei Animation,2010-02-07,2011-01-30,"Action, Comedy, Drama, Fantasy, Mahou Shoujo",7645,42981,/ifzvO12NxM3pAXD0lXzm3NYm29x.jpg
Medabots,280,2,21,322,2,Video Game,91,Bee Train,2001-09-01,2004-05-08,"Action, Adventure, Comedy, Sci-Fi",1138,11235,/sox1eAn3ZxRA14lgqP8EsEshhOT.jpg
Neo Yokio,280,2,21,322,2,Original,6,MADHOUSE,2017-09-22,2017-09-22,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",1951,74044,/dPC7se2Vi9vc9BSiCvSeV0pO9J2.jpg
Daily Lives of High School Boys,280,2,21,322,2,Manga,12,Sunrise,2012-01-10,2012-03-27,"Comedy, Slice of Life",11843,45859,/kPzPTbw3rkB66qKSsjlWtOetQWc.jpg
Kill Me Baby,296,2,19,322,2,Manga,13,J.C. Staff,2012-01-05,2012-03-29,Comedy,11079,73598,/roi29pllxcLud3wVAky4msljKE.jpg
Claymore,296,2,19,322,2,Manga,26,MADHOUSE,2007-04-03,2007-09-25,"Action, Adventure, Fantasy, Horror, Supernatural",1818,34791,/zyCuIOCcoiHVh1y519Ay9kEqAyb.jpg
Inferno Cop,433,1,3,322,2,Original,13,CoMix Wave,2012-12-25,2013-03-18,"Action, Comedy",16774,46798,/glDfHbIWCMtMhyUcXXS6l6Y1CCy.jpg
Sherlock Hound,392,1,7,334,1.9,Other,26,Tokyo Movie Shinsha,1999-09-18,2001-07-21,"Adventure, Comedy, Mystery",1972,21296,/mwLwPQBOeS1ukxUMTh7Sq1aNM63.jpg
Crayon Kingdom of Dreams,392,1,7,334,1.9,Other,,Toei Animation,,,"Adventure, Comedy, Fantasy, Mahou Shoujo",4651,,
Captain Earth,231,1,30,336,1.8,Original,25,bones,2014-04-06,2014-09-21,"Mecha, Sci-Fi",20446,60806,/g8JU8FwRHdptsS0277dZFdHo5TC.jpg
Black Rock Shooter,231,1,30,336,1.8,Other,8,Ordet,2012-02-03,2012-03-23,"Action, Drama, Fantasy, Psychological, Slice of Life",11285,43079,/5f53PhseZy8xoZNK6t2CGwQeZCS.jpg
Symphogear,286,1,20,338,1.7,Original,65,Satelight,2011-12-26,2019-09-29,"Action, Drama, Mahou Shoujo, Music, Sci-Fi",11751,63322,/sph8gCgCBm2j0tgHtexX05j6dph.jpg
Kubikiri Cycle,357,1,11,338,1.7,Light Novel,8,Shaft,2016-10-26,2017-09-27,"Drama, Mystery, Psychological, Romance, Supernatural",21803,68460,/5sjxiXlV3YQ3mLnU3ebmzfZOdwm.jpg
Saber Marionette R,308,1,18,340,1.6,,50,Animate,1996-10-01,2001-06-19,"Action, Comedy, Sci-Fi",1232,25850,/nb1Y6MAvgszPkRiwfGllD1iXMZi.jpg
Hokuto no Ken,402,1,6,340,1.6,Manga,152,Toei Animation,1984-10-11,1988-02-18,"Action, Drama, Sci-Fi",967,56387,/yypGXmBPvyJiD7pOeD2R3q84FlA.jpg
Fisherman Sanpei,402,1,6,340,1.6,Manga,109,Nippon Animation,1980-04-07,1982-04-26,"Adventure, Sports",3137,44033,/roZIxZZKBRuJgBmIlOHYXOU0wic.jpg
Basilisk,238,1,29,343,1.5,Other,24,Seven Arcs,2005-04-12,2005-09-20,"Action, Fantasy",99569,9410,/oqLJUgkLjL7FK3NdSpnG7NZHPva.jpg
Mobile Suit ZZ Gundam,365,1,10,343,1.5,,47,Sunrise,1986-03-01,1987-01-31,"Action, Mecha, Sci-Fi",9708,5660,/u7GMUFdfljplCbySERldRUReP6P.jpg
The Diary of a Crazed Family,365,1,10,343,1.5,Light Novel,26,Nomad,2008-04-12,2008-10-04,"Comedy, Sci-Fi",3577,34683,/c4oKfWaBIkAbpPZzaRVlfNw4Wv.jpg
Tsukuyomi: Moon Phase,433,1,3,343,1.5,Manga,25,Shaft,2004-10-05,2005-03-29,"Comedy, Fantasy, Romance",343,27813,/oPgFOYwpbCt9eC6AJ2lzFSJmPIX.jpg
Steins;Gate 0,246,1,28,347,1.4,Visual Novel,23,White Fox,2018-04-12,2018-09-26,"Drama, Sci-Fi, Thriller",21127,78102,/75w7GE9K7T5wvy3OGN9gauSoBOZ.jpg
A Certain Scientific Railgun,333,1,14,347,1.4,Manga,73,J.C. Staff,2009-10-02,2020-09-25,"Action, Fantasy, Sci-Fi",6213,30977,/dZt1dqw0K4JGhwcqTh8yExHYK9w.jpg
Teekyuu,412,1,5,347,1.4,Manga,116,MAPPA,2012-10-07,2017-09-28,"Comedy, Slice of Life, Sports",15125,53020,/iDyd5ChrP4uRBGkvODq4AIE4wab.jpg
Strawberry 100%,443,1,2,347,1.4,Manga,12,MADHOUSE,2005-04-05,2005-06-21,"Comedy, Ecchi, Romance",248,42873,/4KiyjGANlyMqnbB4CmAGHN2Ph0e.jpg
School Days,443,1,2,347,1.4,Visual Novel,12,TNK,2007-07-04,2007-09-27,"Drama, Romance",2476,28061,/wdbi0p7w2HTtv6Oh1wUAKRIsc0m.jpg
Mashin Hero Wataru,277,1,22,352,1.3,,142,Sunrise,1988-04-16,1998-09-17,"Adventure, Comedy, Mecha, Sci-Fi",3837,19612,/vAszluOzHQEXnVSJy9yn65i5FXX.jpg
